         936001 function calls (928001 primitive calls) in 0.589 seconds

   Ordered by: internal time
   List reduced from 42 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16000    0.112    0.000    0.560    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:2811(_asgi_app)
    16000    0.084    0.000    0.290    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:1897(_dispatch_request)
    16000    0.054    0.000    0.370    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:1795(handle_request)
    16000    0.035    0.000    0.093    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\routing\router.py:408(match)
   160000    0.031    0.000    0.031    0.000 {method 'get' of 'dict' objects}
24000/16000    0.025    0.000    0.035    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\routing\router.py:446(_match_node)
    16000    0.018    0.000    0.050    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:2453(_coerce_response)
    16000    0.018    0.000    0.025    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\request.py:91(__init__)
    16000    0.016    0.000    0.026    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\response.py:1012(__init__)
    16000    0.014    0.000    0.574    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:2795(__call__)
    16000    0.014    0.000    0.589    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\bench\profile_hot.py:20(run_one)
    48000    0.013    0.000    0.013    0.000 {method 'set' of '_contextvars.ContextVar' objects}
    48000    0.012    0.000    0.012    0.000 {method 'decode' of 'bytes' objects}
    16000    0.011    0.000    0.014    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:2331(_call_handler)
     8000    0.010    0.000    0.015    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:385(_resolve_slots)
    32000    0.010    0.000    0.016    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\bench\profile_hot.py:26(send)
    16000    0.009    0.000    0.014    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\routing\router.py:236(_split_path)
    56000    0.009    0.000    0.009    0.000 {built-in method builtins.len}
    48000    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
     8000    0.008    0.000    0.034    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:297(resolve_plan)
     8000    0.006    0.000    0.011    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:285(reset)
    32000    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
    16000    0.006    0.000    0.010    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\helpers.py:515(_reset)
    48000    0.006    0.000    0.006    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\signals.py:151(has_receivers_for)
    16000    0.006    0.000    0.006    0.000 {orjson.dumps}
    16000    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
    16000    0.004    0.000    0.004    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\response.py:71(__init__)
     8000    0.004    0.000    0.004    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:182(_coerce_value)
    16000    0.004    0.000    0.004    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\bench\profile_hot.py:23(receive)
    16000    0.004    0.000    0.004    0.000 {method 'isupper' of 'str' objects}
    16000    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
    16000    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
    16000    0.003    0.000    0.003    0.000 {method 'clear' of 'list' objects}
    16000    0.002    0.000    0.002    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\request.py:163(path_params)
    16000    0.002    0.000    0.002    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\response.py:306(is_streamed)
    16000    0.002    0.000    0.002    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\routing\router.py:196(__init__)
     8000    0.002    0.000    0.002    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:266(__init__)
     8000    0.002    0.000    0.002    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\bench\hot_dispatch_bench.py:20(index)
     8000    0.002    0.000    0.002    0.000 {method 'clear' of 'dict' objects}
     8000    0.001    0.000    0.001    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\bench\hot_dispatch_bench.py:23(show)



