         1056001 function calls (1048001 primitive calls) in 1.511 seconds

   Ordered by: internal time
   List reduced from 46 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16000    0.299    0.000    1.445    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:2779(_asgi_app)
    16000    0.203    0.000    0.768    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:1876(_dispatch_request)
    16000    0.121    0.000    0.941    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:1774(handle_request)
    16000    0.087    0.000    0.207    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\routing\router.py:408(match)
    16000    0.066    0.000    0.094    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\response.py:1008(__init__)
   176000    0.062    0.000    0.062    0.000 {method 'get' of 'dict' objects}
24000/16000    0.053    0.000    0.074    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\routing\router.py:446(_match_node)
    16000    0.052    0.000    0.062    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\request.py:91(__init__)
    16000    0.039    0.000    0.039    0.000 C:\Users\lokes\AppData\Local\Programs\Python\Python313\Lib\weakref.py:367(__init__)
    16000    0.035    0.000    0.142    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:2421(_coerce_response)
    16000    0.035    0.000    1.480    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:2763(__call__)
    16000    0.031    0.000    1.511    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\bench\profile_hot.py:20(run_one)
    48000    0.031    0.000    0.031    0.000 {method 'decode' of 'bytes' objects}
    48000    0.030    0.000    0.030    0.000 {method 'set' of '_contextvars.ContextVar' objects}
     8000    0.025    0.000    0.035    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:376(_resolve_slots)
    16000    0.024    0.000    0.029    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:2299(_call_handler)
    16000    0.023    0.000    0.062    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:257(__init__)
     8000    0.022    0.000    0.035    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:276(reset)
    16000    0.022    0.000    0.022    0.000 {orjson.dumps}
    16000    0.019    0.000    0.030    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\routing\router.py:236(_split_path)
    56000    0.019    0.000    0.019    0.000 {built-in method builtins.len}
     8000    0.017    0.000    0.088    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:288(resolve_plan)
    48000    0.017    0.000    0.017    0.000 {built-in method builtins.isinstance}
    32000    0.016    0.000    0.027    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\bench\profile_hot.py:26(send)
    16000    0.015    0.000    0.015    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\app.py:2465(_run_response_middleware)
    32000    0.013    0.000    0.013    0.000 {method 'encode' of 'str' objects}
    32000    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
    16000    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
    32000    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
    16000    0.010    0.000    0.017    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\helpers.py:515(_reset)
    16000    0.010    0.000    0.016    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\response.py:302(is_streamed)
    16000    0.010    0.000    0.010    0.000 {method 'clear' of 'list' objects}
    48000    0.010    0.000    0.010    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\signals.py:151(has_receivers_for)
     8000    0.009    0.000    0.009    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\dependency.py:182(_coerce_value)
    16000    0.007    0.000    0.007    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\response.py:22(_reject_header_crlf)
    16000    0.007    0.000    0.007    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\bench\profile_hot.py:23(receive)
    16000    0.007    0.000    0.007    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\http\response.py:71(__init__)
    16000    0.006    0.000    0.006    0.000 {method 'isupper' of 'str' objects}
    16000    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
    16000    0.004    0.000    0.004    0.000 C:\Users\lokes\OneDrive\Desktop\veloce\src\veloce\routing\router.py:196(__init__)



